Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
46300.0,46750.0,45900.0,46700.0,41121.14453125,9058174,0.0,0.0
47000.0,47000.0,46550.0,46800.0,41209.21484375,6429338,0.0,0.0
47000.0,47050.0,46450.0,46900.0,41297.26171875,12010886,0.0,0.0
46150.0,46400.0,44850.0,45400.0,39976.453125,16670643,0.0,0.0
44950.0,45100.0,44650.0,45050.0,39668.265625,9803831,0.0,0.0
44850.0,45400.0,44850.0,45150.0,39756.3203125,6409259,0.0,0.0
43800.0,44650.0,43700.0,44250.0,38963.83203125,10088229,0.0,0.0
44050.0,44400.0,44050.0,44100.0,38831.75390625,6808747,0.0,0.0
43500.0,44200.0,43500.0,43850.0,38611.62109375,7289124,0.0,0.0
43700.0,44900.0,43700.0,44800.0,39448.1328125,9520270,0.0,0.0
45150.0,46200.0,44900.0,46100.0,40592.83984375,11641656,0.0,0.0
46150.0,46200.0,45700.0,46200.0,40680.8828125,6730918,0.0,0.0
45900.0,46400.0,45550.0,46150.0,40636.85546875,6582535,0.0,0.0
46100.0,46550.0,46000.0,46300.0,40768.9375,5263782,0.0,0.0
46800.0,46950.0,46300.0,46550.0,40989.06640625,7365976,0.0,0.0
46750.0,46800.0,46400.0,46800.0,41209.21484375,5572374,0.0,0.0
46950.0,47950.0,46700.0,47650.0,41957.67578125,12193231,0.0,0.0
47100.0,48450.0,47000.0,48450.0,42662.09765625,13577454,0.0,0.0
48200.0,48300.0,47300.0,47450.0,41781.56640625,8595084,0.0,0.0
47550.0,47800.0,47200.0,47650.0,41957.67578125,6791255,0.0,0.0
47300.0,47450.0,46400.0,46600.0,41033.09375,9139998,0.0,0.0
46200.0,46400.0,45800.0,46100.0,40592.83984375,9040553,0.0,0.0
44500.0,45200.0,44400.0,44900.0,39536.19140625,18285508,0.0,0.0
45450.0,45550.0,45000.0,45500.0,40064.5078125,9979838,0.0,0.0
45550.0,45900.0,45050.0,45050.0,39668.265625,9865790,0.0,0.0
44900.0,45100.0,44500.0,44550.0,39227.9921875,12995269,0.0,0.0
44550.0,44750.0,44000.0,44050.0,38787.7265625,18277942,0.0,0.0
45000.0,45850.0,44900.0,45850.0,40372.69921875,12446344,0.0,0.0
45550.0,45800.0,44900.0,45150.0,39756.3203125,8123384,0.0,0.0
44950.0,45900.0,44700.0,45500.0,40064.5078125,9987090,0.0,0.0
46000.0,46200.0,45700.0,46150.0,40636.85546875,9367454,0.0,0.0
46850.0,47600.0,46400.0,47250.0,41605.453125,13536966,0.0,0.0
46550.0,47550.0,46550.0,47400.0,41737.52734375,14476906,0.0,0.0
46950.0,47500.0,46450.0,47500.0,42140.30859375,15804586,354.0,0.0
47250.0,47250.0,46300.0,46450.0,41208.77734375,11270515,0.0,0.0
46450.0,46800.0,45800.0,46350.0,41120.06640625,6354983,0.0,0.0
46450.0,46700.0,45700.0,45700.0,40543.40625,6607188,0.0,0.0
45150.0,45600.0,44700.0,44700.0,39656.23828125,11865327,0.0,0.0
44800.0,45500.0,44550.0,44700.0,39656.23828125,10544165,0.0,0.0
44200.0,45200.0,44200.0,44950.0,39878.03515625,6759464,0.0,0.0
45250.0,45500.0,44500.0,45300.0,40188.5390625,10341349,0.0,0.0
44000.0,44650.0,43100.0,43100.0,38236.78515625,19324537,0.0,0.0
43200.0,44650.0,43200.0,44000.0,39035.22265625,12640906,0.0,0.0
44050.0,44050.0,43350.0,43800.0,38857.79296875,7434522,0.0,0.0
43700.0,44150.0,43350.0,43600.0,38680.359375,6825677,0.0,0.0
44150.0,44500.0,44000.0,44150.0,39168.30078125,8306193,0.0,0.0
43950.0,44450.0,43700.0,44050.0,39079.58984375,8347725,0.0,0.0
43900.0,44150.0,43450.0,43900.0,38946.51171875,7842520,0.0,0.0
43450.0,43950.0,43200.0,43550.0,38636.0078125,8357648,0.0,0.0
43300.0,43450.0,42550.0,43050.0,38192.421875,9531231,0.0,0.0
43050.0,43100.0,42250.0,42550.0,37748.83984375,13522825,0.0,0.0
40600.0,41550.0,40550.0,41000.0,36373.734375,19338170,0.0,0.0
41100.0,41300.0,40400.0,41000.0,36373.734375,14413864,0.0,0.0
